lon,lat,name,comment
-123.0698545,49.2578105,B.C. Compassion Club,https://thecompassionclub.org/
-123.069817,49.2581327,B.C. Pain Society,http://www.bcpainsociety.com/
-123.0443154,49.261953,B.C. Pain Society,http://www.bcpainsociety.com/
-123.1545318,49.2683907,Buddha Barn,http://www.buddhabarn.ca/
-123.1705136,49.2683843,The Buddha's Sister Medical Society,http://thebuddhassister.com/
-123.0585742,49.2421625,Budzilla,http://www.budzilla.ca/
-123.1338984,49.2748067,Canada Bliss Herbal Society,Unit #102<BR>http://canadablissherbalsociety.com/
-123.0693067,49.2768399,CanMed Wellness,http://canmedwellness.ca/
-123.0573178,49.2812789,Canna Clinic,http://cannaclinics.org/
-123.145976,49.2680134,Canna Clinic,http://cannaclinics.org/
-123.0699261,49.2646774,Canna Clinic,http://cannaclinics.org/
-123.1248819,49.2776168,Canna Clinic,http://cannaclinics.org/
-123.1403022,49.2090361,Canna Farmacy,http://cannafarmacy.com/
-123.078692,49.2516948,Canna Farmacy,http://cannafarmacy.com/
-123.1701739,49.2686939,Canna Farmacy,http://cannafarmacy.com/
-123.0882272,49.2624727,Canna Farmacy,Unit #102<BR>http://cannafarmacy.com/
-123.055122,49.2405777,Canna Mart,http://cannamart.biz/
-123.1747402,49.2643707,Chronic Hub,https://twitter.com/chronic_hub
-123.0439204,49.2362491,Cannpassion Medical Cannabis Society,https://www.leafly.com/dispensary-info/cannpassion-medicinal-cannabis-society150d
-123.1385677,49.2661074,Dispensary 2233,http://www.dispensary2233.ca/
-123.0906883,49.2813043,Eden Medicinal Society,http://www.myeden.ca/
-123.1005533,49.2805997,Eden Medicinal Society,Storefront location<BR>http://www.myeden.ca/
-123.1014185,49.2803073,Eden Medicinal Society,Lounge location<BR>http://www.myeden.ca/
-123.1403939,49.209487,Eden Medicinal Society,http://www.myeden.ca/
-123.139866,49.28582,Eden Medicinal Society,http://www.myeden.ca/
-123.057841,49.2811959,Eggs Canna,https://www.eggscanna.com/
-123.0641741,49.2445441,Eggs Canna,Location does not appear on City of Vancouver's official list of dispensaries.<BR>https://www.eggscanna.com/
-123.0697473,49.2644796,Eggs Canna,Location does not appear on City of Vancouver's official list of dispensaries.<BR>https://www.eggscanna.com/
-123.1404875,49.2101975,Erbachay Health Centers Inc.,http://www.erbachay.com/
-123.1386798,49.2692586,Granville Island Cannabis Dispensary,Unit #101<BR>http://www.granvilleislandcannabis.com/
-123.0626156,49.2442362,Green Cross Society of B.C.,http://greencrossofbc.org/
-123.1010098,49.2466496,Green Cross Society of B.C.,http://greencrossofbc.org/
-123.1841832,49.2643605,Green Option Society,http://www.greenoptionsociety.com/
-123.1339654,49.2907006,Green Panda Integrated Cannabis Dispensary,http://www.greenpandadispensary.com/
-123.1385801,49.2629698,The Green Rhino Medical Cannabis Dispensary,https://thegreenrhino.ca/
-123.123028,49.278235,The Green Room Society,http://grscanada.com/
-123.1361706,49.2906644,The Healing Club Medicinal Society,Currently closed.<BR>http://www.thehealingclub.ca/
-123.09269,49.2812315,The Healing Tree Medical Marijuana Dispensary,http://www.hdcvan.ca/
-123.1055827,49.2631549,The Healing Tree Medical Marijuana Dispensary and Vapor Lounge,http://www.hdcvan.ca/
-123.0820092,49.2530358,Health Lifestyle Marihuana Id Card Supplies Centre Ltd.,
-123.069712,49.2754791,Health Lifestyle,Unit #202
-123.090484,49.2288528,iMedikate,http://www.imedikate.com/
-123.1285362,49.2786834,Kandu CannaMeds,http://kanducannameds.com/
-123.0651449,49.2446682,Karuna Health Foundation,http://www.karunahealthfoundation.com/
-123.0377129,49.2405734,Limelife Society,http://www.limelifesociety.com/
-123.1059206,49.2631624,Limelife Society,http://www.limelifesociety.com/
-123.1256732,49.2775014,Limelife Society,http://www.limelifesociety.com/
-123.0967607,49.2811287,Limelife Society,http://www.limelifesociety.com/
-123.1014732,49.2408733,Limelife Society,http://www.limelifesociety.com/
-123.0853426,49.2624374,Mary Jane's,
-123.0569435,49.2690002,Medicinal Express,http://www.medicinalexpress.ca/
-123.0778163,49.2596177,Med Ex Society,http://medexsociety.ca/
-123.0776235,49.2508717,Med Pot Now,City has address listed as 4170 Fraser Street; 1316 Kingsway is the correct address.<BR>http://medpotnow.com/
-123.0657287,49.2259286,MedEx,
-123.1009297,49.2247068,MedEx,
-123.1308252,49.2805356,The Medicinal Cannabis Dispensary,http://www.cannabisdispensary.ca/
-123.085323,49.2809137,The Medicinal Cannabis Dispensary,Location does not appear on City of Vancouver's official list of dispensaries.<BR>http://www.cannabisdispensary.ca/
-123.0903475,49.2480483,Natural Releaf,http://naturalreleaf.ca/
-123.0904942,49.2305903,Pacific Leaf Society,https://www.facebook.com/pages/Pacific-Leaf-Society/1550593831893532
-123.1010119,49.2815307,Real Compassion Society,
-123.1066363,49.2833055,Red Med Canna Clinic,http://red-med.ca/
-123.1031097,49.2690754,Sea to Sky Alternative Healing Society ,Unit #100<BR>https://seatosky604.com/
-123.0907752,49.2241728,Sea to Sky Alternative Healing Society ,https://seatosky604.com/
-123.1079228,49.279853,Serenity Natural Health Society,Unit #206<BR>https://twitter.com/serenitydabs
-123.1269445,49.2751761,Seymour Wellness Society,http://seymourwellnesssociety.com/
-123.1107726,49.2631287,Sunrise Wellness Foundation,http://www.mysunrise.ca/
-123.1767951,49.2643554,True Natural Healing Society,
-123.0278849,49.2322625,Urban Earth Med,http://www.urbanearthmed.com/
-123.0782122,49.251542,Van City Medicinals,http://vancitymedicinalsociety.com/
-123.1260812,49.2774214,Vancity Weed,http://www.vancityweed.com/<BR>https://www.facebook.com/vancityweedgranville
-123.0998093,49.2633443,Vancity Weed,http://www.vancityweed.com/<BR>https://www.facebook.com/vancityweedgranville/
-123.0697197,49.2656025,The Vancouver Pain Management Society,https://www.painmanagementsociety.org/
-123.129844,49.2808259,The Vancouver Pain Management Society,https://www.painmanagementsociety.org/
-123.120075,49.2756486,Vancouver Prime Therapeutic Cannabis Society,Unit #421<BR>http://medmarijuanavancouver.com/
-123.0854363,49.2810409,Vancouver Seed Bank,http://www.vancouverseedbank.ca/
-123.1228071,49.2768042,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1012074,49.2565927,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.0526049,49.2391621,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.0781987,49.2329399,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.0294302,49.2809897,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1002976,49.273877,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.0651596,49.2386372,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1019399,49.2242059,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1460031,49.2695682,Weeds Glass & Gifts,Unit #104<BR>https://www.weedsglassandgifts.com/
-123.1704668,49.2683941,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1297759,49.2786897,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1813775,49.2642888,Weeds Social Club,http://weedscanada.com/
-123.1151106,49.2592017,Westcoast Medicann,http://www.westcoastmedicann.com/
